block,investor,amount_eth,total_eth,fee_paid_eth,is_address_contract,tx_hash
4570799,0x55b3230118D3952b35b7965b09752dD299a95706,6188,26397.6784,0.00306035,NO,0x8e57c9688e1ff6207c68650b3a7be42c2046302677478d0ecbaceb1bbd6201ad
4570799,0x9eC8E8F64EC6bB47d944B4b830130B5fCf2Da182,2000,10073.9316,0.0183621,NO,0xbeaded1f13a147082b9694b83c26ffcbc9fad2bb7d954a1f8c22c4c7c770102a
4570799,0xCBA5018De6b2b6F89d84A1F5A68953f07554765e,1605,1605,0.914484,NO,0x1262fe3daf5365bf5e61cb341fb83f366bb0e737918840bd1d1821bf194c099d
4570800,0x002ecfdA4147e48717cbE6810F261358bDAcC6b5,1452,35797.4384,0.734484,NO,0xbdadde826c825d9e111c731ff66d9441df6f19916282476f66fa9b46cf7c9a1b
4570799,0xCB1144E95c704D8835BB8B70132519244A0c45B3,1270,5474,0.061207,NO,0xc5601842c69ed8573459192b43e656bcc49375769053c617c5c6bfc3777ed696
4570799,0x003cb170077B8502C6D85B90AD7A505e3eD09A71,1145,17612.6784,0.00367242,NO,0x91d6f1a72551ca435829f49153c219d36966c3095bf1caf1371c8d4b6d84fa57
4570799,0x0002945F1fc37863f255e0803b75Ff1f5276E23A,1000,20209.6784,0.00306035,NO,0x82e64662e0de843e6f7ac87d047b353971d482be96e46aeb8840f8eea21ba594
4570799,0x9C4fcA4C220eFaf55c7531aAaeBF0936B7c54227,922,11908.9316,0.0122414,NO,0x7b12ec07032f814f1e2f9235d714f5a942d3c7b9c4c797ab3c91aee1d77b584b
4570801,0x83c7FB5CD9eCc5334eC028b8e0e25491CfF4D8B7,750,37813.4384,0.0061207,NO,0x394af9317e8c7ee7e9a596d2203ed46fd62b803700899d0cd619e320f948109d
4570799,0x00b5F428905DEA1a67940093fFeaCeee58cA91Ae,745,2476,0.306035,NO,0xf79498fbaba4995d29b985603e81c2d452310d32932c7a12853e061537ef801b
4570799,0x5006090E1e8ED9bFe64a42d1Ef62d10466094753,682,12590.9316,0.006181907,NO,0xed19cc478c52a21e058f46f699ad12aaf0a33643302c78a136a5fa1e594c31ca
4570801,0x61d78809f8E43702ba1A92F8D5F7b349C1751d5a,631,40233.2384,0.00306035,NO,0x7df2e3dff0e30ccda70e7388607f9df75f5d7a0776af0beff59e9b9ab2219bfe
4570799,0xE55ED4DB7445216c705a52c55f9598B074c10B3b,600,14155.9716,0.00367242,NO,0x083d4d9af358ca6fc729574d1b7f9d0465d42d9ce37e197ad64f55b5f80bb83f
4570799,0x40D2Fa6Ea02dFDD81eA621A1853069fbE39acc18,590,10663.9316,0.0183621,NO,0xfd4d86556d168d22a12280db3fb447cf839cb4a5ee40afba91035c6038657bf6
4570801,0xdc7778C338E869497f09f0894618334aFC21d266,529,38342.4384,0.0061207,NO,0xc98f4e5d48e734fa6148388304d32ba062f010e2388e76361928ae2369a6fe8b
4570800,0x1807fa3568cf22f623Cada77ec08cB55c8c75701,516,32924.8384,0.00367242,NO,0x035dbcc21f63b24fd85352075358502699ead02890db04c71efdcbccc95f0534
4570799,0x6745E85fF16302B1Aa3eFc745cDfbD538650C646,500,3708,0.0659383011,NO,0x75ba93892874691c370c75118090218936d48cdfc636440e65cfde5fe6b27e11
4570801,0xF23B127Ff5a6a8b60CC4cbF937e5683315894DDA,500,36410.4384,0.61207,NO,0x96209378cf5ce7d1e473ee773d059d06c3464a4e030759a90481e9590590ed66
4570799,0x4B11F86a69ed65E8e2266d936c55dC66f43dA055,500,19209.6784,0.00306035,NO,0x30e09584b3361b0e2185bfc09456f704570ffe48c6d0b1f56af6a26a4db97c91
4570799,0xeBd5365605Aafd6e92dC0718f8Cb73B4A601aeB4,496,4204,0.061268207,NO,0x6a7eb5ff21bbe3440b3f97d8facc9e5659217d0df9b4d61622dd47d2d3b6d3d9
4570799,0x7BD9E75b1eb83Dff2857139AC63C0c5Bfa65D323,493,3208,0.0665014055,NO,0x477c064c910dcabc2dbd047656523499d331b0b655b4687dc6183540611015a4
4570800,0x3c532955559B76455F182371b4f335FF2e646d81,400,34057.4384,0.001530175,NO,0x92506f67a750faf8fe41eb06b7698ce0f910df29d22ea4aa89bfe2e65aabaf21
4570801,0xbCA8b072DE18860a00c72782B3eAd19ee13A9fcD,398,39397.2384,0.00367242,NO,0xa557c0f4021da07c4ee8d7a8fe169d936a0722335f791effa04c97864aea53ab
4570800,0xe767c46329E37C7197C0c5b9200185e6a66b67F2,364,29986.1884,0.00367242,NO,0x44cae6f47a923c2d41f44f754d373ed9b7b39feddd335ed6cef3a4012575d431
4570801,0xB40cDC9B78f62425Fb1f1873507FAd41b23fC8C3,322,36943.4384,0.01591382,NO,0x5f05d0e2f98b9303e20b433d89e05bb2882799b67b282a1c330adbc591b5c7dc
4570800,0x002B254aBdcEf1F9Af4e56f0e9776Bc1fEeA1edc,315,29119.2884,0.306035,NO,0xfa4143a380fdd44cbf1f1f9657f64dbff65dcff1ca52ca2e76e5214b5a0c4947
4570801,0x5389477e84b4B7e693940a135BF0C1928d232840,300,40784.2384,0.002999143,NO,0xfb157207c48cb1030f524b8965cc4cbcfaf72f5fd2a32a386bf69bc7a357f1d4
4570800,0xA75931f65bAE961b4b3689Da05913C0480e78206,300,31383.1884,0.00183621,NO,0x212afafc23a73de86a2e7b4c043beefa4fe4c95249173f37392a1513fd3a090f
4570800,0x0E06D6e9ed71c073B33D3e2569464C43B187Cdf2,300,30883.1884,0.00306035,NO,0x87ba9a6b41fb68448da45a25f0bed8ce61159458d8bd8a1295ab67d5dee5ccc4
4570799,0x8F380c77E8dF42BcfBC47e90824e5f5e78EA5D73,300,26942.3784,0.001530175,NO,0xe0889de99ed992c8e9f018bddbe143202ec796091c13359f2796391ed1306c9f
4570800,0x44fc00c0Ee2481E4dbCAa2BC2cEbd2f121E037D8,296,30282.1884,0.00367242,NO,0x38f38bdf19476ca627134ddf9d657e9ddde9d1cc1e8b77f6bdec451a0842e9c1
4570799,0x00e9Ff089166938ADa5444BB3f649e44E7A1296C,272,18709.6784,0.00306035,NO,0xefb39ad19df4405ac09a77a3f92808346d2ab7b53cef9af60cf20e54e6bd407d
4570799,0xC51D3470693BC049809A1c515606124c7C75908d,270,12860.9316,0.006181907,NO,0xc5d1c767391a5d78104960cb3ac8fb987dfb872f2bf94cc872656bc0cc287490
4570800,0x1ebF9F7AB379b4f49167a7Cd34BC5DfF938FbAb8,245,32408.8384,0.00367242,NO,0xd6b75fc8e109fcb4da8adc3a0d77e4c265daa16f5fff734641ef6086647eba81
4570799,0xa145AdDb0a24f0C4697189a02EAdb006BE244D49,203,13190.9316,0.0061207,NO,0xb8a70a5533c6df5cdb4254cbe542042658e92e1f39958ca2187469ec89ebf93f
4570800,0xfA369b7816E43e38b45E91E303cA4bd00A47d332,200,31083.1884,0.0024850042,NO,0xa8a5e49e3f7163a9fca583ce6119392599d37e6b7b3120b655569eed7b480258
4570800,0x6a00b74B720c22BF83Dca604cbFCd7cf17875519,200,30583.1884,0.00367242,NO,0x974bbca2684a2c12eabc02f296a48d7bad8c5a2916c1ca6ac04e63700af6a6c1
4570799,0x88b7a44CECD526cd2D424B0A4Cc2bbB26341Dd8f,200,27292.3784,0.001530175,NO,0xc9d8d76f902b804ead8ff02a10ce6f1394b205efcade04bc5a89f172fbf35e44
4570799,0xE3FA519a02244293D2685D468454F9A697540C16,200,17812.6784,0.00367242,NO,0x7334e6d807e8ac0847f9fa20f089bde86bd914c82c6975dbc5034185a2b99de7
4570800,0x73051a64044FEa61A6100eB0b55C9087BE32ccA3,198,31682.1884,0.00061207,NO,0xe65b0c80bd204210358391625e5ec2b120946ea9d43cae2dab47901b4b33f9cd
4570800,0x49a0E16e1E3f48e5C113682CaF0Ecbc2a9B551d6,188,34345.4384,0.001285347,NO,0x6ca6cc471855ce997ac024443fa410a3f5292f53c6cff5d11600ac7d773748a1
4570801,0xb0FB18334e54A4CE487b6fb1530E1678fE8bc671,180,38522.4384,0.005386216,NO,0xc03237594dc1ee10726d711c3694f31c6bc589bdd93052b2c04a8d794e2635a3
4570801,0xF17E6FF9Bbf082AFB8626a7756c0d091b94300D7,153,41137.2384,0.00183621,NO,0xaa0f760c99d6d4abc9ae74370482e2f7a1381db6329e700756895a7570eac8cb
4570799,0x2875F367B4c6c07Ca72568A9b0D0887A37f06b24,150,27092.3784,0.001530175,NO,0x15a46806e6c6b6d03b38221f7fe28b4daf9c516f4a9a1bdee032a1c7dea6703c
4570801,0x8D443dAb447811e7f7536ABC7DdF210EB76C0388,148,40484.2384,0.0030542293,NO,0x3a03bcbbfa6057540c4e3e69859948300ad55473fca82f05645ad8bd5ddbc9b4
4570801,0x0ee1Bd3BafB0a7B01dF1d3572AFc882cfba4A718,148,38770.4384,0.00367242,NO,0x96657e2ead064a44ed5a7bad4d97fab381b46a7c9c158586e5e2210b7eb20bae
4570799,0x00fC79F38bAf0dE21E1fee5AC4648Bc885c1d774,138,2614,0.244828,NO,0x2ab6f60644cafd326dd5a8abb7e20f288c624491a66192c74c3f6c10417de66f
4570799,0x2C0cF060a7049b38A2Ac4eE8983fdd84e57403F3,133,14389.2716,0.00367242,NO,0x75953b42e1c4c48cb5210bbff09629a07e0a506e64b5f8194b5ff409b53b4da7
4570799,0x20275e007f9678e47a9F3C52EA85d68C24217a65,127,12987.9316,0.0061207,NO,0xfd1b8113f7d63812723e4a3a679741d180e7183249ed4515766b3fba64829054
4570799,0xa6Bf70bd230867c870eF13631D7EFf1AE8Ab85c9,126,1731,0.489656,NO,0x446329612cc57414f6debc0cf485e6dad594e9ff84fb98fcd04cebffefdcacf5
4570801,0x5C72dA9CAd883D790eB1e4165CF2441B3bE165E2,120,37063.4384,0.01285347,NO,0xf560d660e769d3d4270259e93212a22e3931f1bd2d01aa9128d4c2b5cb11987b
4570800,0x9b9F1d09da1F4bAaF07Da2b2ce847b5c8D9b8340,120,31802.1884,0.00061207,NO,0x82d29fa2a919155221fff0225ac24fb0506078bca96cbfe1698018a728248fbb
4570799,0xED2fd9b1bBb02a4cFa167942F771f7CFb522A0E6,120,10783.9316,0.0183621,NO,0xc8c3165a1f3634ca303524361616f28c5b009d23f9984eba632095bba616021b
4570799,0xeD038477488A703CDE6485D6795beB2Bb8955dc2,117,15362.0199,0.00367242,NO,0xf3ff3a9910bd820961d8ff6705e0c8f3b9334a410a07da14bd78d523efd848b4
4570799,0xae375e11AB4DEB294a48fD54CF1B154CaF3b0655,115,18337.6784,0.00367242,NO,0xd0dd1693b55992a081014d605fac0967417bc2db3d9860784e2129152e6cadee
4570800,0x3eDFcb7Dce0E24bb825FeEE463125B97f238fDE0,114,33657.4384,0.00244828,NO,0x8092ad93488646b1b509434ddcdcdf24897767a18f89a91eb9211f34595957f1
4570800,0x1DB7b69F0078f57B0806a8136394bE44Bafdd657,113,35910.4384,0.0550863,NO,0xb7c680d128dc60714825f6efc6a50fea9c89b10ab26f8076fe461cd90f94b4a7
4570801,0x0079CE80043EDc3325598e4A3b6293ab779bf174,111,36621.4384,0.061207,NO,0x1f6bce417c90022a4b461b7a037656ee58825205da95250472f1ac0fb14824c6
4570799,0x5272cD4dD8b48FCbd85ea40c458840924B0f086e,111,14500.2716,0.00367242,NO,0x2b3aff214567a44b42eabf4fa84be8fd469902e0e33abdbe28517796fedf2d73
4570800,0x573F117460813E30A00e46fb99dcbCaa73eB946f,110,29229.2884,0.061207,NO,0xe7fc06b5ad909159b06339318e4d4c5f1933167775acfecff8bd67e3538836fd
4570799,0x70E6194AE475F682CEE0fb3D174481b2e9616680,110,13455.9716,0.0061207,NO,0x4afe66316cc3e00b108c796241c9953f3cd80021560cf601849ff8a5a4f90e57
4570799,0x572A5ADb7a934A4DF4B4FBD703fC07bDDc5f0399,106,18119.6784,0.00367242,NO,0x8cca1003f4af018116f142117dfaa6c160f5f7b37fcfac8099d2a1e577bd0c7a
4570801,0x2e09ea82894C747424f3D6547da0D0A5A06BbeF4,105,39502.2384,0.003366385,NO,0x083bee54f1ef4f993e345a7c34246b3312045d0239097b2ec6669bde07c7fc10
4570801,0xa91C173412015Bb9742F8C84196558765231cbe8,103,40336.2384,0.00306035,NO,0xc98829488ab6a70be8516dc6ab14e81fb35dd139518f1c3f532ef1b342d61554
4570799,0xf49615E9aC97572cA20abEC81c8236AC77A3F2Ec,103,18222.6784,0.00367242,NO,0xc788027854878796c60c5b65d7dc98c71e6316a85891444ccb22296551f61041
4570800,0xe5F799E2f18eCa1f52C9325898c996D54FD63414,102,32163.8384,0.00367242,NO,0x0b2bc3f85a3454cc17a0d4cdfc1aa62507ade35e2a8873e9a6664142ad942faf
4570799,0xA4c994aF511c438aaE9dc12FB4aAC79808369563,102,10986.9316,0.0122414,NO,0x81dea1d8b11f9183f7ff12d7a6ad354b3ca552479882ea2e147bd456ed8d70d0
4570800,0x5D728EBf8985df169C041FedFddf2A829190F1f0,101,31484.1884,0.001530175,NO,0x663a71b1769bf3fb6081da2496abe0c526097696481f39149e6dc04f42eb5bdd
4570800,0x5e529Cb8feA7173c492c9A82eF378B8D39EEde8C,101,30383.1884,0.00367242,NO,0xfcaf1d359ccdeab6afe9d317d7b0b39048e4717e0632e6c48fd8ad3195ad59b4
4570799,0x007BFe6994536Ec9e89505c7De8e9EB748d3CB27,101,2715,0.12903659744468111,NO,0x659eb1a6455a9c5543fc2bfd98be0d0a3f3f1cb63a69bf8831a7ccb261e875de
4570799,0x9a4A90E2732F3Fa4087B0Bb4bF85c76d14833dF1,101,18013.6784,0.00367242,NO,0xc16a39eba6174e8fdf692cdf9efa8bbd1a99ee5e497be61006f92ac099ef1ec9
4570799,0x0e0193A44c0d7E36B8fAff8fD3d9004D5Bb5ff09,101,10884.9316,0.0183621,NO,0x661d5ba12249ab55d11f00c4ff1ad5ca4ecbef889f37838f5f64befb28bcf1d2
4570801,0xd90eA6bb71A83952160536B6d3d35035cfD709A2,100,40984.2384,0.0018729342,NO,0x6b1b5a0d3bc317243888bd3ab9fe00cb46ff757446d0e0486b6e95a891b3598c
4570801,0xA1745FB739AB320b8bdB0C7c993CD78b30510B5a,100,40884.2384,0.001958624,NO,0xc097efb5d024aba4491350981683e811bbf292399010e8563ca97f227e82a87a
4570801,0xEB0e7a1a2E96c4b480CA053b3cA7FDa581134429,100,39602.2384,0.00306035,NO,0x70f86273ed6a61bf531669aa6dd1136e6ea95dfca24b45bee3a60095fdaf0be4
4570801,0x4209C9eA64fb4fA437eb950B3839a43C99d96c06,100,38999.2384,0.00367242,NO,0xfd7f4701214f8f9489b6b69f40ab2b7f59c0413f5dacd66ac271a87cb6602d3d
4570801,0x89e58F935E54d44764EeBAe1E262835c73Fdb9F0,100,38622.4384,0.00496456954598,NO,0xc4ff49e2ea878c9a8d2819c0ce0c9226111b94c1ad5d0f0c96514ce4e6020dcc
4570801,0xc9d5020151A29f0030B58F8c7cf5247A07e9f29D,100,36510.4384,0.061207,NO,0x24c7b6d591fc4d0c3c8aa4eea8b721bac8443c220a55a121cc242376e3421acf
4570800,0x78D8E8807F652B54AfE33B7645A26C5ffaE5291c,100,34157.4384,0.002876729,NO,0x6174a63cf059b753f47265e92ba7b3fc364134e1e326fc99ae966445f6875089
4570800,0x07a08dc1EC0b79D7cc246b1C9aa6bfE6f8c1aeA1,100,33543.4384,0.00306035,NO,0xa1b85efea37503d6539ac5b7162deefc117af12aea2795c11034e1d158a4aec3
4570800,0x9B07641BD2267548929A8353Ef7C4b99FdDD0927,100,29622.1884,0.00428449,NO,0xa10561f16354b3688d70cfccdd6f40b505bd2475b2a9b0bf18d8b45e21382592
4570799,0xF40EbC782eB2f915c2EA1eFa42ea579f8474fE09,100,18437.6784,0.00367242,NO,0x0a968926d7df3640c8716e22b590dfca0e58e782ebe5cc50a1b6536e5e6bb504
4570799,0x1C337B5979D6E1e27E68ee59D73AfB6EE834EEe3,100,17912.6784,0.00367242,NO,0x3f909e017f9c6281c3e35ae6b2dd2628b1d6f19e471273b291b8af9843502e84
4570799,0x246b83608E72482CE8A8Baff3AA3A17bE739D083,100,13555.9716,0.003733627,NO,0x381091fddb25898d419bcb8428bfe11b8a6ebfda03afc29eace0262333e97a4d
4570799,0xea5dF5e8197A0Bc1D3f1519d560dEDC0299562eb,546,6811.4316,0.0306035,NO,0x6060bfd623d671512235a09a873638cd5cb8e339a761da2e471a22369d051d83
4570799,0xA8f71a7A70DB8f7C0884c0a8AB034FE79FFbf9BE,442,7626.9316,0.0306035,NO,0x9643609de442c7fe5464bf2e790ed9acffa3840e68bfbf5a672475a0bc61cc37
4570840,0x2875F367B4c6c07Ca72568A9b0D0887A37f06b24,33,41170.2384,0.001155175,NO,0x541e6a9e8eb4b312ee02ee7a459e4396085fcf70aef187403b5bca0109b4bdd4
4570799,0x3638941dB710CC0B2186afd34Aa62C12B646Ad61,206,7973.9316,0.020443138,NO,0x5d91ead02d3d7c8e05a3492e035361e5cfa07c9367e93157730bdacaaeb945b6
4570799,0xA576E704a1C1D8d7E2fdfdd251B15a3265397121,199,5976.5,0.0387623931,NO,0x4de1b643e07b00714a57f109c3ea1a48b879983b6d2d2632643eb25ee3f63875
4570799,0xEa0BcB3B3899dED82597C6647D80Ff4677d361D9,141,7767.9316,0.02754315,NO,0x51f4ffe0471d5ebb711764bf5317ea7f9aa678bfe53a543405abd94010b8767f
4570799,0x05870C043D8eB303797E91a019C4B48e2019308c,113,7184.9316,0.0306035,NO,0xf6903222c86f87166917bd5c2567cc6873cb2d147bcc88159b5aed759e520c6d
4570799,0xa277c67CA954582D6Da335B567acD73B02EBa6d6,110,5777.5,0.0428449,NO,0x0768f292af8ba169b6b7610c57a116062a2eb285145361778b58ce1a15ee4c56
4570799,0x4BCe54FF5287C2718e4328Ad818CCA1584366920,100,8073.9316,0.020381931,NO,0x28ae7abba367c818bbf91aa9785c282de2d397cb104e855c4e68b7be896fce06
4570890,0x573F117460813E30A00e46fb99dcbCaa73eB946f,4,41174.2384,0.0092414,NO,0xc9f99db59cb61651f93698e97cd547eb18a117c3550da50c441b7f39755f2461
4570800,0xe13540ecEE11B212e8B775dC8E71f374aAe9B3F8,1511.91,28804.2884,0.306096207,NO,0xf380571a8de9acb401a900d0c79ef97bab4fd77acd0c2b978c236be16ca1d0d0
4570799,0x241ceB620B3e427405E3c064F525704E91B569cb,744.7483,15245.0199,0.00367242,NO,0x20e98d8f0c5a206e6973171c4a23ad18a891cdf042e0dff3eaa4406df77a60c0
4570799,0x3A2b9Cb84F0D090290723aD46403899aCC98bdDC,460.97,16186.8899,0.00367242,NO,0xfb5b2e11604f87bdfde5b6b5bde6465cdbab0e3674ec9219a32f590967d32e37
4570800,0x1E468d22bAb0a9235D473b9200941b907355907D,418.5,33443.4384,0.00306035,NO,0xd336e72c3d6be97999636b54fa6d7e19ed7cd48f226e42322eddf94553ffd3a5
4570799,0x1c032408C5b3F48488A8D261bEdaebdce1e78ddb,363.9,15725.9199,0.00367242,NO,0xff5e87a50deb82826c1bfed751a4d72f0ae64839e6b64a9ffa17f99b363c85bc
4570800,0xf7295F86830B0D80D4F613Dd346204Ed578fF064,292.9,29522.1884,0.025079568250061207,NO,0x13f3d2e00d5e189cd7afd9156d8227dbfb503f2a803c978cc55a7b7fa5350dc7
4570799,0x1A195793a046b8B26Db57c4180052ED0D8714952,288.9316,6265.4316,0.0367242,NO,0xbbd3b5b23756dea890af9602d8da8cb4acaa324926dc5d3b66e7658ca0d7aaaa
4570799,0xD94e7eaDFd48DEa30CF67c4F0c9964f8F1Ef6A77,260.5,7071.9316,0.0306035,NO,0x7fddd662007df48528b2e0c6c8d35582eee8610e97c7c6a462b6cb517d3f0742
4570799,0xB290e60A9526c22B353EA842E70bB73E985E660b,193.5,5667.5,0.04651732,NO,0x6e19181e5a23f806ab1767d94ea26d6449fac13cf28a27c2adac4d4af08bbfe3
4570799,0xb1Cc5237676632B3e9767e8230390Da1e901E587,175.8,16467.6784,0.00367242,NO,0x3375832876d25ad24e6c130a9faa852b569f77ce79ea49e9591b962106988a97
4570800,0x00d4D0Dd69c02e5416Fd23435fff026E02ba6D0f,159.15,31961.3384,0.0122414,NO,0x5be2612db320ea7439ac156a3c083bac866a09a34b08f5fe45a543200594dd10
4570799,0x8d255e2906083f8c3F6612887fae95DCEa990831,155.04,13345.9716,0.0061207,NO,0x89e9aba67dc75bfb4d84a65974c2aa2114ab969b6f8ed851ac4dde5f1038677f
4570799,0xd3242d16e8D12657e86F4a21852617a33f5d0904,137.2,26642.3784,0.0018606928,NO,0x0e6b9760a2162c765a4250a084636415e43fc5e1ab5950b9745b4bad3d4e2afe
4570801,0xA95C3543636F5d62Accf8d2B8Ae06bca1aDf679F,128.8,38899.2384,0.00367242,NO,0x7a0f1d228957b77c4d90fca4883be60f2296f69f1766bc0fef18c28040e475d4
4570799,0x83942b5dafaC40925b1bFEd0aE686dB516706b6d,107.5,26505.1784,0.0030358672,NO,0x0e1c786e85deb728e4d79200abb2a1382de0643a91404e6345c9326d83ab676b
4570799,0x7154431e0743678b4f55CaBa41D19123CcB0144d,104.9885,16291.8784,0.00367242,NO,0xee03f02be4eca220d70f3ded444f8dae5a322566ac823d8a554a977044fe1cdb
4570800,0x53416d06cFc0815054502EfA5b0cfE837CC6858D,100.5,32061.8384,0.0061207,NO,0x4e7678011f39fe59a1b67abc774ab362d5e9adb5497a3f4655a1070f2ab9fa46
4570799,0xcEA50976FD0B2212e3F42f3aca32AB87bf237fA6,100.3,14256.2716,0.00367242,NO,0xd4adaa51f5be307818b66584c9a257794676ef570bdebd2cdc17e03d22939db2
4570800,0x43e9Cf399C707d73b47e65bEC1917D664000F001,100.1,33024.9384,0.00367242,NO,0x64c30fafd12e20b149b07e56a2ccf5907f95844e846cde556596ea1effbfd3dc
4570898,0x573F117460813E30A00e46fb99dcbCaa73eB946f,1.76,41175.9984,0.0092414,NO,0x8cb81115e65444c6552831006d847b822f993d712bf4e8fd365e2c7dd7ae1304
4571280,0x002B254aBdcEf1F9Af4e56f0e9776Bc1fEeA1edc,0.0016,41176,0.00046207,NO,0x7fff9d4355d75813570337fc5b7557faacd6348a0b3a59cb86690de667e595b5

